# 稳定点数据 | 2026-03-31 17:09:02
index,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,end_j1,end_j2,end_j3,end_j4,end_j5,end_j6,end_x,end_y,end_z,end_rx,end_ry,end_rz
105,-0.693295,-0.167520,0.742169,-1.178034,-0.896343,1.072403,0.041191,-1.442986,1.660285,-3.546590,-1.880305,-0.060339,-0.693293,-0.167529,0.742169,-1.178023,-0.896331,1.072307
106,-0.539214,-0.039761,0.701825,-1.137658,-1.266797,1.301393,-0.314624,-1.789479,2.039891,-3.420938,-1.153500,0.011684,-0.539188,-0.039728,0.701859,-1.137715,-1.266696,1.301390
107,-0.577746,-0.150601,0.667112,-1.317340,-1.257848,1.119888,-0.024971,-1.693332,1.999982,-3.331816,-1.596423,0.002400,-0.577736,-0.150574,0.667191,-1.317314,-1.257758,1.119835
108,-0.635340,-0.285698,0.773293,-1.115977,-1.092785,1.254825,0.212064,-1.495525,1.657996,-3.445915,-1.805390,-0.035437,-0.635338,-0.285687,0.773307,-1.115950,-1.092704,1.254876
109,-0.675105,-0.231532,0.836439,-1.152974,-1.057329,1.198250,0.122007,-1.482503,1.530951,-3.317725,-1.781587,-0.029478,-0.675109,-0.231501,0.836455,-1.152993,-1.057292,1.198262
110,-0.835367,-0.122441,0.698465,-1.207009,-1.293839,1.237873,-0.068260,-1.284395,1.511331,-3.322929,-1.437062,-0.009601,-0.835362,-0.122454,0.698501,-1.206980,-1.293819,1.237916
111,-0.535463,-0.357118,0.799766,-1.167797,-1.021915,1.163654,0.400344,-1.563042,1.680205,-3.409659,-2.103276,-0.078890,-0.535492,-0.357157,0.799666,-1.167834,-1.022042,1.163471
112,-0.736137,-0.332145,0.822107,-1.142685,-0.971337,1.158119,0.263944,-1.294278,1.337595,-3.378123,-1.992476,-0.083591,-0.736071,-0.332168,0.822117,-1.142663,-0.971357,1.158156
113,-0.748272,-0.144976,0.759865,-1.281645,-1.122148,1.103989,-0.014521,-1.424408,1.579280,-3.279826,-1.693034,-0.000875,-0.748320,-0.144932,0.759834,-1.281615,-1.122141,1.103836
114,-0.587372,-0.182028,0.899288,-1.213821,-1.237874,1.214394,0.026855,-1.686056,1.599557,-3.035335,-1.582940,-0.001359,-0.587433,-0.182005,0.899236,-1.213864,-1.237941,1.214318
115,-0.607389,-0.197930,0.686503,-1.235846,-1.034999,1.104613,0.089904,-1.572452,1.883918,-3.520353,-1.840665,-0.019403,-0.607420,-0.197905,0.686463,-1.235872,-1.035078,1.104532
116,-0.591477,-0.275622,0.751632,-1.157625,-1.272807,1.282404,0.191652,-1.600750,1.784898,-3.332826,-1.672062,-0.002272,-0.591497,-0.275643,0.751621,-1.157670,-1.272841,1.282394
117,-0.716211,-0.162652,0.716425,-0.991711,-0.965284,1.315763,-0.002499,-1.385385,1.653994,-3.714672,-1.596927,-0.011295,-0.716257,-0.162604,0.716337,-0.991743,-0.965338,1.315615
118,-0.771741,-0.023620,0.757926,-1.244017,-1.205092,1.173275,-0.208483,-1.418630,1.574074,-3.268923,-1.398415,-0.007690,-0.771713,-0.023633,0.758002,-1.243935,-1.205009,1.173208
119,-0.722147,-0.021409,0.743661,-1.266780,-1.357250,1.193180,-0.243617,-1.519677,1.693039,-3.178971,-1.265487,-0.043127,-0.722127,-0.021446,0.743652,-1.266778,-1.357277,1.193231
120,-0.824700,-0.284553,0.899488,-1.291458,-1.209609,1.129037,0.165787,-1.240490,1.094657,-2.925645,-1.805874,0.011823,-0.824601,-0.284575,0.899595,-1.291343,-1.209486,1.129158
121,-0.536608,-0.024865,0.864453,-1.111806,-1.230577,1.317021,-0.349466,-1.815684,1.778551,-3.178878,-1.125881,0.031571,-0.536586,-0.024847,0.864485,-1.111751,-1.230446,1.317022
122,-0.763290,-0.252225,0.730761,-1.132148,-1.183380,1.278276,0.119253,-1.329257,1.530743,-3.420108,-1.649167,-0.009469,-0.763283,-0.252197,0.730787,-1.132133,-1.183334,1.278160
123,-0.640305,-0.125059,0.942647,-1.216139,-1.143741,1.176580,-0.066111,-1.606987,1.458266,-3.020650,-1.570894,-0.002189,-0.640311,-0.125011,0.942653,-1.216186,-1.143685,1.176575
124,-0.691355,-0.146165,0.827532,-1.272926,-1.238787,1.156550,-0.030379,-1.543325,1.580929,-3.110108,-1.572474,-0.002176,-0.691336,-0.146092,0.827575,-1.272977,-1.238582,1.156427
125,-0.780088,-0.104187,0.678599,-1.195011,-1.210840,1.224037,-0.093350,-1.356212,1.648067,-3.443627,-1.468035,-0.001911,-0.780057,-0.104198,0.678670,-1.194864,-1.210778,1.224083
126,-0.809020,-0.153662,0.815163,-1.265836,-1.036220,1.077003,0.007740,-1.314903,1.357861,-3.224265,-1.781117,-0.012091,-0.809036,-0.153594,0.815157,-1.265853,-1.036183,1.076828
127,-0.731944,-0.286603,0.898044,-1.169325,-1.361788,1.292113,0.161174,-1.402010,1.304382,-2.991005,-1.584952,-0.002795,-0.731968,-0.286557,0.898050,-1.169348,-1.361697,1.292033
